email,nome,cognome,nome_azienda
calamidoro@calamidoro.com,,,Hotel Calamidoro
info@castellodimonteantico.it,,,Castello di Monte Antico
fattoriavalle@fattoriavalle.com,,,Relais Fattoria Valle
relais@camporegio.com,,,Campo Regio Relais
hotel@villaundulna.com,,,Villa Undulna
pinipaola@tiscalinet.it,,,Hotel Da Giovanni
hotelreal@libero.it,,,Real
info@tornabuonihotels.com,,,Beacci Tornabuoni
semifonte@semifontehotel.it,,,Semifonte
info@hotelsantamarianovella.it,,,Hotel Santa Maria Novella
info@boscolungo.it,,,Hotel Residence Boscolungo
hoteloasi@servizire.it,,,Oasi
info@grandhotellapace.it,,,Grand Hotel & La Pace
info@albergonatucci.it,,,Albergo Natucci
info@mandelclub.com,,,Mandel 2
info@villaggioinnamorata.it,,,Villaggio Turistico Innamorata
info@bellavista-abetone.it,,,Hotel Bellavista
hsole@libero.it,,,Sole
info@sanlorenzohotel.it,,,Albergo San Lorenzo
info@pensionegarden.it,,,Hotel Garden
info@hotelguelfa.com,,,Hotel Guelfa - Soggiorno La Pergola
ilpino@ftbcc.it,,,Albergo Ristorante Il Pino Sas
info@hoteleuromar.com,,,Hotel Euromar
c.leonina.prenotazioni@medeahotels.com,,,Castello di Leonina Relais
info@parkhotelcinquale.com,,,Park Hotel Cinquale
info@villagiotto.it,,,Villa Giotto Park Hotel
parc@lina.it,,,Parc Hotel
hotel.nuova.italia@dada.it,,,Hotel Nuova Italia
info@relaisilchiostrodipienza.com,,,Relais Il Chiostro di Pienza
info@patriahotel.com,,,Patria
info@ducadelmare.it,,,Hotel Duca Del Mare
info@hotelgiglio.fi.it,,,Hotel Giglio
info@laselvahotel.com,,,Selva
elba@residencelidoazzurro.it,,,Residence Lido Azzurro
hotelcristina@tin.it,,,Hotel Cristina
ristorantecorallo@libero.it,,,Albergo Ristorante Pizzeria Corallo
info@hotelgoldoni.com,,,Hotel Goldoni
info@hotelmontreal.com,,,Hotel Montreal
htlflora@tiscalinet.it,,,Hotel Flora
info@hotelbrunella.it,,,Hotel Brunella
hotel.chiazza@tin.it,,,Hotel Chiazza
info@casaalsole.net,,,Casa Al Sole
info@hoteldeivicari.com,,,Hotel Dei Vicari
prenotazioni@arthotel-museo.it,,,Art Hotel Museo
info@hotelcarlos.it,,,Hotel Carlo's
info@hotelilgiardino.pisa.it,,,Hotel Il Giardino Srl
info@hotelilnegresco.com,,,Hotel Il Negresco
info@itrebaroni.it,,,Hotel I Tre Baroni
una.poggiodeimedici@unahotels.it,,,Una Poggio Dei Medici
info@hotelcisterna.it,,,Albergo Ristorante La Cisterna Srl
info@davincihotel.it,,,Hotel Da Vinci
management@lesorgentiph.it,,,Park Hotel Le Sorgenti
nuovo.excelsior@virgilio.it,,,Nuovo Excelsior
info@bi-hotel.it,,,Bi
info@hotel-europa.it,,,Hotel Europa
excelsiorflorence@westin.com,,,The Westin Excelsior Florence
info@sanfranciscoviareggio.it,,,San Francisco
info@hotelross.it,,,Hotel Ross
info@regina-hotel.it,,,Du Park Et Regina
info@villadomizia.it,,,Villa Domizia
info@vittoriaalbergo.com,,,Hotel Vittoria
info@casalandi.com,,,Casa Landi
info@welcometoelba.it,,,Montemerlo
parcoerosa@parcoerosa.it,,,Parco Erosa
info@albergotirolo.it,,,Hotel Tirolo
info@hotelcorano.it,,,Hotel Corano
info@residenzadelgranduca.it,,,La Residenza Del Granduca
info@piccolohotelsanvalentino.com,,,Piccolo Hotel San Valentino
hoteltirrena@elbalink.it,,,Tirrena
info@hotelmaremonti.com,,,Maremonti
info@hotelcity.net,,,Hotel City
info@albergofalterona.it,,,Hotel Falterona
info@hotelsylvia.it,,,Sylvia
info@bbfourooms.com,,,B&b Four Rooms
olimpiaflori@virgilio.it,,,Olimpia
palazzodellaspiaggia@tiscali.it,,,Hotel Palazzo Della Spiaggia
enoteca@relaischateaux.com,,,Restaurant Enoteca Pinchiorri
reservation@sheratonfirenze.it,,,Sheraton Firenze Hotel & Conference Center
ilglicine@tin.it,,,Locanda Del Glicine
info@villadeigerani.it,,,Villa Dei Gerani
allalocandadimorgana@alice.it,,,Hotel Alla Locanda di Morgana
info@sanmarcosiena.it,,,Hotel San Marco
lepiazze@chiantinet.it,,,Hotel Locanda Le Piazze
sanremo@cosmos.it,,,Sanremo
info@hotelaprile.it,,,Aprile
laforestahotel@hotmail.com,,,Hotel La Foresta
leduefontane@dada.it,,,Hotel Le Due Fontane
hotel.selva@tiscali.it,,,Hotel Ristorante La Selva
psube@tin.it,,,Hotel Bodoni
panoramic@galliganihotels.it,,,Panoramic
albergopetrucci@tiscalinet.it,,,Petrucci
lagoverde@rphotels.com,,,Lago Verde
tufihotel@tufihotel.it,,,Hotel Ai Tufi
info@villagaia.it,,,Villa Gaia
info@albergolapacepontedera.it,,,Albergo La Pace
info@mistralhotel.it,,,Mistral
info@larosahotel.it,,,La Rosa
info@la-fattoria.it,,,La Fattoria
htroma@tiscalinet.it,,,Hotel Roma
info@hotelmariotti.191.it,,,Mariotti
info@hoteltuscanyinn.com,,,Hotel Tuscany Inn
info@capitolchianciano.it,,,Grand Hotel Capitol Garibaldi
select@elbalink.it,,,Select
caldana@dada.it,,,Teti & Prestige
info@exclusivecarrara.com,,,Hotel Exclusive
info@fabianihotels.com,,,Miramonti
info@hotelmediterraneo-chiancianoterme.it,,,Mediterraneo
info@tufihotel.it,,,Ai Tufi
hotelduetorri@elbalink.it,,,Due Torri
info@hotelpalazzuolo.com,,,Hotel Palazzuolo
info@ambra-hotel.it,,,Hotel Ambra di Somma & C. Sas
info@casacares.it,,,Casa Cares
info@grupposelci.it,,,Selci Wellness Hotels - Marina di Campo - Elba
info@hotelvillarona.com,,,Villa Rona
info@albergobattelli.it,,,Battelli
welcome@hotelnella.net,,,Hotel Nella
info@hotelifiorino.it,,,I'fiorino Sas di Elio Giuntini & C.
info@ariannahotel.eu,,,Arianna
info@domusflorentiahotel.com,,,Domus Florentiae Hotel
vacanze@kontiki.toscana.it,,,Kon Tiki
info@piccolomondohotel.it,,,Piccolo Mondo
info@hotelorcagnafirenze.it,,,Orcagna
info@hoteleuroclub.it,,,Hotel Euro Club
info@villaggiosolidago.it,,,Villaggio Solidago
info@arizonahotel.it,,,Hotel Arizona Sas di Sandra Grazzini
albergo_vittoria@virgilio.it,,,Vittoria
info@hotelboston.it,,,Boston
info@locandalevolte.com,,,Locanda Le Volte
info@locandailcastagno.it,,,Hotel Locanda Il Castagno
pensionegransasso@libero.it,,,Gran Sasso
info@hotellerenaie.it,,,Hotel Le Renaie
info@sienaholidays.com,,,L'aia Residence & Soggiorno Lo Stellino
hotel.lombardi@dada.it,,,Hotel Lombardi
hotelcalifornia@inwind.it,,,California
info@hotelpierodellafrancesca.it,,,Piero Della Francesca
info@hotelfloridatirrenia.com,,,Hotel Florida
info@zucconihotel.it,,,Hotel Zucconi
info@villacampomaggio.it,,,Hotel Villacampomaggio
byron@gruppobirindelli.it,,,Byron
info@albergolevante.it,,,Hotel Levante
info@hoteltorretta.it,,,Torretta
info@villacorliano.it,,,Grand Hotel Villa di Corliano
hotelsextum@alice.it,,,Sextum Hotel
