Categoria,Ragione Sociale,Indirizzo,CAP,Città,Prov,Regione,Telefono,Fax,E-mail
Alberghi,Hotel Calamidoro,Via Del Tiglio 143,56030,Calcinaia,PI,Toscana,0587297111,,calamidoro@calamidoro.com
Alberghi,Castello di Monte Antico,Località Monte Antico Alto,58045,Civitella Paganico,GR,Toscana,0564991025,0564991003,info@castellodimonteantico.it
Alberghi,Relais Fattoria Valle,Località Panzano 55,50022,Greve In Chianti,FI,Toscana,055852482,,fattoriavalle@fattoriavalle.com
Alberghi,Campo Regio Relais,Via Sapienza 25,53100,Siena,SI,Toscana,0577222073,0577237308,relais@camporegio.com
Alberghi,Villa Undulna,Via Gramsci Antonio 2,54038,Montignoso,MS,Toscana,0585807788,,hotel@villaundulna.com
Alberghi,Hotel Da Giovanni,Via di Mezzo Franco 10,58012,Isola Del Giglio,GR,Toscana,0564804010,0564804049,pinipaola@tiscalinet.it
Alberghi,Real,Viale L. Gori 31,50127,Firenze,FI,Toscana,055301284,,hotelreal@libero.it
Alberghi,Beacci Tornabuoni,Via Tornabuoni 3,50123,Firenze,FI,Toscana,055212645,055283594,info@tornabuonihotels.com
Alberghi,Semifonte,Via Pisana 1,50021,Barberino Val D'elsa,FI,Toscana,0558068043,,semifonte@semifontehotel.it
Alberghi,Hotel Santa Maria Novella,Piazza Santa Maria Novella 1,50142,Firenze,FI,Toscana,055271840,05527184199,info@hotelsantamarianovella.it
Alberghi,Hotel Marina,Via Cavallotti 31,51016,Montecatini Terme,PT,Toscana,057270128,057270860,hotelmarina@email.it
Alberghi,Hotel Residence Boscolungo,Via Brennero 450,51021,Abetone,PT,Toscana,057360582,057360585,info@boscolungo.it
Alberghi,Oasi,Via Contesse 1,52044,Cortona,AR,Toscana,0575630354,0575630477,hoteloasi@servizire.it
Alberghi,Grand Hotel & La Pace,Corso Roma 12,51016,Montecatini Terme,PT,Toscana,057275801,057278451,info@grandhotellapace.it
Alberghi,Albergo Natucci,Via Cavallotti 102,51016,Montecatini Terme,PT,Toscana,057270380,,info@albergonatucci.it
Alberghi,Mandel 2,Località Morcone,57031,Capoliveri,LI,Toscana,0565935030,,info@mandelclub.com
Alberghi,Villaggio Turistico Innamorata,Località Innamorata,57031,Capoliveri,LI,Toscana,0565939104,,info@villaggioinnamorata.it
Alberghi,Hotel Bellavista,Via Brennero 383,51021,Abetone,PT,Toscana,057360028,057360245,info@bellavista-abetone.it
Alberghi,Sole,Via Delle Rose 40,53042,Chianciano Terme,SI,Toscana,057860194,,hsole@libero.it
Alberghi,Albergo San Lorenzo,Via Rosina 4,50123,Firenze,FI,Toscana,055210077,055284925,info@sanlorenzohotel.it
Alberghi,Hotel Garden,Via Dell'ornello 22,56018,Tirrenia,PI,Toscana,05037578,05037479,info@pensionegarden.it
Alberghi,Hotel Guelfa - Soggiorno La Pergola,Via Guelfa 28,50129,Firenze,FI,Toscana,055215882,055216006,info@hotelguelfa.com
Alberghi,Albergo Ristorante Il Pino Sas,Località Querce Al Pino 40,53043,Chiusi,SI,Toscana,0578274406,0578274143,ilpino@ftbcc.it
Alberghi,Hotel Euromar,Via Dei Salici 2,54037,Massa,MS,Toscana,0585240300,0585869545,info@hoteleuromar.com
Alberghi,Castello di Leonina Relais,Strada S. Bartolomeo,53042,Asciano,SI,Toscana,0577716088,0577716054,c.leonina.prenotazioni@medeahotels.com
Alberghi,Park Hotel Cinquale,Via Delle Pinete 2,54038,Montignoso,MS,Toscana,0585309505,,info@parkhotelcinquale.com
Alberghi,Villa Giotto Park Hotel,Via Roma 11,50036,Vaglia,FI,Toscana,055406730,055406730,info@villagiotto.it
Alberghi,Parc Hotel,Via Roma 214,52014,Poppi,AR,Toscana,,,parc@lina.it
Alberghi,Hotel Nuova Italia,Via Faenza 26,50123,Firenze,FI,Toscana,055268430,055210941,hotel.nuova.italia@dada.it
Alberghi,Relais Il Chiostro di Pienza,C. Rossellino 26,53026,Pienza,SI,Toscana,0578748400,0578748440,info@relaisilchiostrodipienza.com
Alberghi,Patria,Via Crispi 6,51100,Pistoia,PT,Toscana,057325187,,info@patriahotel.com
Alberghi,Hotel Duca Del Mare,Via D.alighieri 1/2,58024,Massa Marittima,GR,Toscana,,,info@ducadelmare.it
Alberghi,Hotel Giglio,Via Cavour 85,50100,Firenze,FI,Toscana,055486621,055461163,info@hotelgiglio.fi.it
Alberghi,Selva,Via Barberino 219,50041,Calenzano,FI,Toscana,0558876806,,info@laselvahotel.com
Alberghi,Residence Lido Azzurro,Località Spiaggia Lido,57031,Capoliveri,LI,Toscana,0565940217,0565933574,elba@residencelidoazzurro.it
Alberghi,Hotel Cristina,Via Adige 31,53042,Chianciano Terme,SI,Toscana,057860552,057860552,hotelcristina@tin.it
Alberghi,Albergo Ristorante Pizzeria Corallo,Via Romana Ovest 189,55016,Porcari,LU,Toscana,0583298699,058329160,ristorantecorallo@libero.it
Alberghi,Hotel Goldoni,Via Borgo Ognissanti 8,50123,Firenze,FI,Toscana,055284080,055282576,info@hotelgoldoni.com
Alberghi,Hotel Montreal,Via Della Scala 43,50100,Firenze,FI,Toscana,0552382331,055287491,info@hotelmontreal.com
Alberghi,Hotel Flora,Via Del Mare - Marina di Bibbona 26,57020,Bibbona,LI,Toscana,0586600015,0586602612,htlflora@tiscalinet.it
Alberghi,Hotel Brunella,Viale Pistelli 102,55041,Camaiore,LU,Toscana,0584617258,0584618220,info@hotelbrunella.it
Alberghi,Hotel Chiazza,Via Borgo Pinti 5,50121,Firenze,FI,Toscana,,,hotel.chiazza@tin.it
Alberghi,Casa Al Sole,Via Vittorio Veneto 82,50022,Greve In Chianti,FI,Toscana,0558546429,0558544084,info@casaalsole.net
Alberghi,Hotel Dei Vicari,Viale Kennedy 45/e,50038,Scarperia,FI,Toscana,055846860,0558468680,info@hoteldeivicari.com
Alberghi,Art Hotel Museo,Viale Della Repubblica 289,59100,Prato,PO,Toscana,05745787,0574578880,prenotazioni@arthotel-museo.it
