,,,
STRUTTURE AFFILIATE,,,
Nome,Mail,Località/Città,Pr.
MARY HOTEL,info@maryhotel.net,s.Casciano VP,Fi
SALVADONICA,info@salvadonica.com,s.Casciano VP,Fi
CASA DEL SOLE,info@casadelsolecamaiore.it,Camaiore,Lu
HOTEL LEOPOLDA,hotel.leopolda@tiscali.it,Firenze,
HOTEL CAPANNELLE,booking@hotelcapannelle.it,Appio Latino,Rm
VILLA I BARRONCI,info@ibarronci.com,s.Casciano VP,Fi
VILLA LA VEDETTA,booking@villalavedettahotel.com,Firenze,
FATTORIA LE MANDRIE,info@lemandrie.it,Montespertoli,Fi
AGRIT.VECCHIO BORGO INALBI,info@inalbi.it,Impruneta,Fi
HOTEL BORGO ANTICO,info@hotelborgoantico.com ,Monternoni d'Arbia,Si
IL PICCOLO CASTELLO, info@ilpiccolocastello.com ,Monteriggioni,Si
HOTEL I CILIEGI,info@hoteiciliegi.com,Reggello,Fi
Totale N. 12,,,
,,,
STRUTTURE FIRENZE,,,
HOTEL WALDORF,fireservation@c-hotels.it,Firenze,Fi
HOTEL AMBASCIATORI,fireservation@c-hotels.it,Firenze,Fi
HOTEL MEDITERRANEO,info@hotelmediterraneo.com ,Firenze,Fi
VHOTEL CALZAIUOLI, info@calzaiuoli.it ,Firenze,Fi
VILLA FIESOLE,info@villafiesole.it ,Firenze,Fi
HOTEL BRETAGNA,info@hotelbretagna.net,Firenze,Fi
HOTEL ALBANI,reservation.flo@albanihotels.com ,Firenze,Fi
HOTEL DE LA VILLE,info@hoteldelaville.it,Firenze,Fi
HOTEL ROMA,info@hotelromafirenze.com,Firenze,Fi
HOTEL LUNGARNO,lungarno@lungarnocollection.com ,Firenze,Fi
HOTEL BOTTICELLI,info@hotelbotticelli.it,Firenze,Fi
HOTEL OROLOGIO,fireservation@c-hotels.it,Firenze,Fi
GRAND HOTEL MINERVA,booking@grandhotelminerva.com ,Firenze,Fi
RESIDENCE IL GIGLIO, info@residenceilgiglio.it ,Firenze,Fi
HOTEL L. DA VINCI,info@leonardodavincihotel.net ,Firenze,Fi
GRAN HOTEL BAGLIONI,info@hotelbaglioni.it ,Firenze,Fi
HOTEL ADLER CAVALIERI,info@hoteladlercavalieri.com ,Firenze,Fi
HOTEL J AND J,info@jandjhotel.net ,Firenze,Fi
PARK PALACE HOTEL,hotel@parkpalace.com ,Firenze,Fi
HOTEL BERNINI PALACE,bookinghotelbernini@duetorrihotels.com ,Firenze,Fi
HOTEL EXECUTIVE,info@hotelexecutive.it  ,Firenze,Fi
HOTEL CLUB,g.putaggio@bh-hotels.com,Firenze,Fi
IDEA HOTEL BUSINESS,reservation.firenzescandicci@ideahotel.it,Firenze,Fi
NILHOTEL, info@nilhotel.it ,Novoli / San Donato/ Firenze,Fi
COSMOPOLITAN HOTEL,booking@cosmopolitanhotel.it,  ,Fi
HOTEL NORD FLORENCE,info@nordflorence.it ,Novoli / San Donato/ Firenze,Fi
HOTEL ALEX,info@hotelalexfirenze.com  ,Legnaia,Fi
VILLA BELVEDERE,reception@villabelvederefirenze.it ,Galluzzo ,Fi
EMPOLI HOTEL,info@empolihotel.com,Empoli,Fi
HOTEL DA VINCI,info@hotelda-vinci.it,Vinci,Fi
CASA V. STREDA BELVEDERE,streda@streda.it ,Vinci,Fi
MONNALISA B&B,info@hotelmonnalisavinci.it ,Vinci,Fi
HOTEL KRISTAL,info@hotelkristal.it,Campi Bisenzio,Fi
HOTEL 500,reservation@hotel500firenze.com ,Campi Bisenzio,Fi
WEST FLORENCE,commerciale@westflorencehotel.it,Campi Bisenzio,Fi
ART HOTEL MIRO',commerciale@arthotel.it ,Calenzano,Fi
HOTEL FIRST,p.liaci@hotelfirst.it ,Calenzano,Fi
HOTEL ALBATROS,booking@hotelalbatrosfirenze.it  ,Calenzano,Fi
HOTEL VILLA STANLEY, info@villastanley.it ,Sesto Fiorentino,Fi
Totale N. 39,,,
,,,
STRUTTURE CAMPAGNA FIRENZE,,,
VILLA GUARNASCHELLI,info@villaguarnaschelli.com ,Scanidicci,Fi
HOTEL MARZIA, info@hotel-marzia.it  ,Scanidicci,Fi
HOTEL I CEDRI,info@hotelicedri.it,Scanidicci,Fi
VILLA LE BARONE,info@villalebarone.com ,Panzano/Greve in Chianti,Fi
LI ZUTI,info@lizutiresort.com ,San Donato in Collina/Bagno a Ripoli,Fi
NORCENNI GIRASOLE CLUB,girasole@ecvacanze.it,Figline Valdarno,Fi
VILLA OLMI RESORT,reservations@villaolmiresort.com ,Bagno a Ripoli,Fi
IL MULINO DI FIRENZE,info@mulinodifirenze.com,Gavinana/Rovezzano,Fi
ANTELLA RESIDENCE,info@antellaresidence.com ,Antella/Bagno a Ripoli,Fi
VILLA IL COLLE,info@villailcolle.it ,Bagno a Ripoli,Fi
VILLA LA MASSA,reservations@villalamassa.it ,Candeli,Fi
HOTEL VILLA CESI,info@villacesi.it   ,Impruneta,Fi
BELLAVISTA IMPRUNETA,info@bellavistaimpruneta.it ,Impruneta,Fi
VILLA AMBROSINA,info@lavallombrosina.it,Impruneta,Fi
VILLA L'OLMO,info@relaisfarmholiday.com ,Impruneta,Fi
LA PRESURA,info@presura.it ,Greve in Chianti,Fi
ALBERGO DEL CHIANTI,info@albergodelchianti.it  ,Greve in Chianti,Fi
CASTELLO DI GABBIANO,accommodations@castellogabbiano.it ,Greve in Chianti,Fi
IL CASELLO COUNTRY HOUSE,reservation@ilcasello.it ,Greve in Chianti,Fi
RELAIS FATTORIA VALLE,fattoriavalle@fattoriavalle.com ,Greve in Chianti,Fi
AGRITURISMO CORTE DI VALLE,cortedivalle@cortedivalle.it,Greve in Chianti,Fi
VILLA VIGNAMAGGIO,agriturismo@vignamaggio.com ,Greve in Chianti,Fi
ANTICO PASTIFICIO, info@chiantihomecoming.com ,Greve in Chianti,Fi
