REGIONE,categoria B,Azienda,Via,Città,Provincia,STELLE,sito,E-mail,Note
Abruzzo,,romantik hotel sporting Villa Maria,c.da Pretaro,Francavilla al mare,CH,,,tirolese@sportingvillamaria.it,
Abruzzo,,Fattoria Cerreto,Colle Cerreto,MOSCIANO SANT'ANGELO - MONTONE,TE,,,info@hotelcerreto.it,
Abruzzo,,Perrozzi,Contrada Buonanotte 71,VASTO - VASTO MARINA,CH,,,aperroz@tin.it,
Abruzzo,,Hotel I Trabocchi,Contrada Finocchietto 1,FOSSACESIA,CH,,,info@itrabocchi.it,
Abruzzo,,Palace,Contrada Fonte De Nardis,VASTO - VASTO MARINA,CH,,,info@palacehotelvasto.it,
Abruzzo,,Villa Susanna degli Ulivi,Contrada Giardino,COLONNELLA,TE,,,info@villasusannadegliulivi.it,
Abruzzo,,Mara,Contrada Lido Riccio,ORTONA,CH,,,marahtl@tin.it,
Abruzzo,,Lo Scudo,"Contrada Mozzoni, 14 - Treglio",LANCIANO,CH,,,loscudohotel@virgilio.it,
Abruzzo,,La Bilancia,Contrada Palazzo 11,LORETO APRUTINO,PE,,,labilancia@micso.net,
Abruzzo,,Hotel Le Morge,Contrada Palude 54,TORINO DI SANGRO,CH,,,info@hotelemorge.com,
Abruzzo,,Miraverde,Contrada Piano Sant'Angelo 1,SAN SALVO,CH,,,hotelristorante@miraverde.it,
Abruzzo,,Garden,Contrada Portelle 77,SAN VITO CHIETINO - SAN VITO MARINA,CH,,,hotel_garden@libero.it,
Abruzzo,,Romantik Hotel Sporting Villa Maria,Contrada Pretaro,FRANCAVILLA AL MARE,CH,,,villamaria@sportingvillamaria.it,
Abruzzo,,Il Castello,Contrada Quadroni 105,PERANO,CH,,,info@ristoranteilcastello.it,
Abruzzo,,La Cascina,Contrada Quercia del Corvo 52,SAN VITO CHIETINO - SAN VITO MARINA,CH,,,hotelristorantelacascina@virgilio.it,
Abruzzo,,Park Hotel Primavera,Contrada S. Liberata,ORTONA,CH,,,gardenbook@email.it,
Abruzzo,,Delberg Palace,Contrada San Domenico 1,PIZZOFERRATO,CH,,,delbergpalacehotel@libero.it,
Abruzzo,,Rio,Contrada San Tommaso,VASTO - VASTO MARINA,CH,,,hotelriovasto@libero.it,
Abruzzo,,Dakar,Contrada San Tommaso,VASTO - VASTO MARINA,CH,,,info@dakarlivinghotel.it,
Abruzzo,,Vittoria,Contrada San Tommaso 257,VASTO - VASTO MARINA,CH,,,info@h-vittoria.it,
Abruzzo,,Di Rocco,Contrada Scannella Inferiore 18,LORETO APRUTINO,PE,,,hotel@ristorantedirocco.it,
Abruzzo,,Solaris,Contrada Termine 5,CASALBORDINO - CASALBORDINO STAZIONE,CH,,,info@hotelsolaris.it,
Abruzzo,,Palucci,Contrada Valle Caterina 3,TORINO DI SANGRO,CH,,,hotelpalucci@virgilio.it,
Abruzzo,,La Griglia di Casa Nostra,Contrada Vallescura 33,SILVI,TE,,,info@lagrigliadicasanostra.it,
Abruzzo,,Grand Hotel e del Parco,Corso Federico II 74,L'AQUILA,AQ,,,piotroi@tin.it,
Abruzzo,,Ideale,Corso Garibaldi 65,ORTONA,CH,,,info@hotel-ideale.it,
Abruzzo,,Campo Imperatore,Frazione Campo Imperatore,L'AQUILA - CAMPO IMPERATORE,AQ,,,irtiint@tin.it,
Abruzzo,,Castello di Septe,Frazione Castello di Sette 20,MOZZAGROGNA - CASTEL DI SETTE,CH,,,casteldisepte@tin.it,
Abruzzo,,Hotel Ermocolle,Frazione Ponzano,CIVITELLA DEL TRONTO - PONZANO,TE,,,info@hotelermocolle.com,
Abruzzo,,Relais il Palazzetto,Largo San Lorenzo 1,MONTEREALE,AQ,,,info@ilpalazzetto.com,
Abruzzo,,Da Remo,Largo San Rocco 3,ROCCARASO,AQ,,,info@daremo.it,
