email,nome_azienda,referente_nome,referente_cognome,stelle,categoria,indirizzo,cap,citta,provincia,regione,telefono,sito
calamidoro@calamidoro.com,Hotel Calamidoro,,,4,Alberghi,Via del Tiglio 143,56030,CALCINAIA,PI,Toscana,0587297111,http://www.calamidoro.com/
info@castellodimonteantico.it,Castello di Monte Antico,,,,Alberghi,Località Castello di Monte Antico,58045,CIVITELLA PAGANICO - MONTE ANTICO,GR,Toscana,0564991025,
fattoriavalle@fattoriavalle.com,Relais Fattoria Valle,RELAIS FATTORIA VALLE,,,Alberghi,Via Case Sparse 55,50022,GREVE IN CHIANTI - PANZANO,FI,Toscana,055852482,
relais@camporegio.com,Campo Regio Relais,Campo Regio Relais Residenza Depoca Siena,,,Alberghi,Via Sapienza 25,53100,Siena,SI,Toscana,0577222073,http://www.camporegio.com/
hotel@villaundulna.com,Villa Undulna,,,,Alberghi,"v. Gramsci, 2",54038,Cinquale Montignoso,MS,Toscana,0585807788,
pinipaola@tiscalinet.it,Hotel Da Giovanni,,,,Alberghi,Via di Mezzo Franco 10,58012,Isola Del Giglio,GR,Toscana,0564804010,
hotelreal@libero.it,Real,,,,Alberghi,Viale Gori 31,50127,FIRENZE,FI,Toscana,055301284,
info@tornabuonihotels.com,Beacci Tornabuoni,,,,Alberghi,Via Tornabuoni 3,50123,FIRENZE,FI,Toscana,055212645,
semifonte@semifontehotel.it,Semifonte,Semifonte,,,Alberghi,Strada Provinciale San Gimignano 1,50021,BARBERINO VAL D'ELSA,FI,Toscana,0558068043,http://www.semifontehotel.it/
info@hotelsantamarianovella.it,Hotel Santa Maria Novella,Hotel Santa Maria Novella,,,Alberghi,Piazza Santa Maria Novella 1,50142,FIRENZE,FI,Toscana,055271840,https://www.hotelsantamarianovella.it/?utm_source=gbp
info@boscolungo.it,Hotel Residence Boscolungo,,,4,Alberghi,Via Brennero 450,51021,Abetone,PT,Toscana,057360582,http://www.boscolungo.it/
hoteloasi@servizire.it,Oasi,,,,Alberghi,Via Contesse 1,52044,Cortona,AR,Toscana,0575630354,
info@grandhotellapace.it,Grand Hotel & La Pace,Grand Hotel And La Pace,,5,Alberghi,Via della Torretta 1,51016,MONTECATINI TERME,PT,Toscana,057275801,http://www.grandhotellapace.it/
info@albergonatucci.it,Albergo Natucci,Albergo Natucci,,,Alberghi,Via Cavallotti 102,51016,Montecatini Terme,PT,Toscana,057270380,http://www.albergonatucci.it/
info@mandelclub.com,Mandel 2,Mandel Residence,,,Alberghi,Località Morcone,57031,Capoliveri,LI,Toscana,0565935030,http://www.mandelclub.com/
info@villaggioinnamorata.it,Villaggio Turistico Innamorata,Villaggio Turistico Innamorata,,,Alberghi,Località Innamorata,57031,Capoliveri,LI,Toscana,0565939104,https://www.villaggioinnamorata.it/
info@bellavista-abetone.it,Hotel Bellavista,,,,Alberghi,Via Brennero 383,51021,ABETONE,PT,Toscana,057360028,
hsole@libero.it,Sole,,,3,Alberghi,Via delle Rose 40,53042,CHIANCIANO TERME,SI,Toscana,057860194,http://www.hotelsolechiancianoterme.it
info@sanlorenzohotel.it,Albergo San Lorenzo,,,,Alberghi,Via Rosina 4,50123,Firenze,FI,Toscana,055210077,
info@pensionegarden.it,Hotel Garden,,,,Alberghi,Via Dell'ornello 22,56018,Tirrenia,PI,Toscana,05037578,
info@hotelguelfa.com,Hotel Guelfa - Soggiorno La Pergola,,,,Alberghi,Via Guelfa 28,50129,Firenze,FI,Toscana,055215882,
ilpino@ftbcc.it,Albergo Ristorante Il Pino Sas,,,,Alberghi,Strada Statale 146 40,53043,CHIUSI - QUERCE AL PINO,SI,Toscana,0578274406,
info@hoteleuromar.com,Hotel Euromar,,,,Alberghi,Via dei Salici 3,54037,MASSA - MARINA DI MASSA,MS,Toscana,0585240300,
c.leonina.prenotazioni@medeahotels.com,Castello di Leonina Relais,,,,Alberghi,Strada S. Bartolomeo,53042,Asciano,SI,Toscana,0577716088,
info@parkhotelcinquale.com,Park Hotel Cinquale,,,,Alberghi,Via delle Pinete 2,54038,MONTIGNOSO - CINQUALE,MS,Toscana,0585309505,
info@villagiotto.it,Villa Giotto Park Hotel,,,,Alberghi,Via Roma 69,50036,VAGLIA - BIVIGLIANO,FI,Toscana,055406730,
parc@lina.it,Parc Hotel,,,,Alberghi,Via Roma 214,52014,Poppi,AR,Toscana,0575 529994,
hotel.nuova.italia@dada.it,Hotel Nuova Italia,,,,Alberghi,Via Faenza 26,50123,Firenze,FI,Toscana,055268430,
info@relaisilchiostrodipienza.com,Relais Il Chiostro di Pienza,Relais Il Chiostro Di Pienza,,,Alberghi,C. Rossellino 26,53026,Pienza,SI,Toscana,0578748400,http://www.relaisilchiostrodipienza.com/
info@patriahotel.com,Patria,Hotel Patria,,,Alberghi,Via Crispi 6,51100,Pistoia,PT,Toscana,057325187,http://www.patriahotel.com/
info@ducadelmare.it,Hotel Duca Del Mare,,,,Alberghi,Piazza Dante Alighieri 1/2,58024,MASSA MARITTIMA,GR,Toscana,,
info@hotelgiglio.fi.it,Hotel Giglio,,,,Alberghi,Via Cavour 85,50100,FIRENZE,FI,Toscana,055486621,
info@laselvahotel.com,Selva,Hotel La Selva,,,Alberghi,Via di Barberino 221,50041,CALENZANO - PONTENUOVO,FI,Toscana,0558876806,http://www.laselvahotel.com/
elba@residencelidoazzurro.it,Residence Lido Azzurro,Lido Azzurro Residence,,,Alberghi,Località Spiaggia Lido,57031,Capoliveri,LI,Toscana,0565940217,http://www.residencelidoazzurro.it/
hotelcristina@tin.it,Hotel Cristina,,,,Alberghi,Via Adige 31,53042,CHIANCIANO TERME,SI,Toscana,057860552,
ristorantecorallo@libero.it,Albergo Ristorante Pizzeria Corallo,,,,Alberghi,Via Romana Ovest 189,55016,Porcari,LU,Toscana,0583298699,
info@hotelgoldoni.com,Hotel Goldoni,,,,Alberghi,Borgo Ognissanti 8,50123,FIRENZE,FI,Toscana,055284080,
info@hotelmontreal.com,Hotel Montreal,Hotel Montreal,,,Alberghi,Via Della Scala 43,50100,Firenze,FI,Toscana,0552382331,http://www.hotelmontreal.com/
htlflora@tiscalinet.it,Hotel Flora,,,,Alberghi,Via del Mare 26,57020,BIBBONA - MARINA DI BIBBONA,LI,Toscana,0586600015,
info@hotelbrunella.it,Hotel Brunella,,,,Alberghi,Viale Pistelli 102,55041,CAMAIORE - LIDO DI CAMAIORE,LU,Toscana,0584617258,
hotel.chiazza@tin.it,Hotel Chiazza,,,,Alberghi,Via Borgo Pinti 5,50121,Firenze,FI,Toscana,,
info@casaalsole.net,Casa Al Sole,Casa Albergo Al Sole,,,Alberghi,Via Vittorio Veneto 82,50022,GREVE IN CHIANTI,FI,Toscana,0558546429,http://www.casaalsole.net/
info@hoteldeivicari.com,Hotel Dei Vicari,Hotel Dei Vicari Scarperia,,,Alberghi,Viale Kennedy 45/E,50038,SCARPERIA,FI,Toscana,055846860,http://www.hoteldeivicari.com/
prenotazioni@arthotel-museo.it,Art Hotel Museo,,,,Alberghi,Viale Della Repubblica 289,59100,Prato,PO,Toscana,05745787,
info@hotelcarlos.it,Hotel Carlo's,Hotel Carlos,,,Alberghi,Località San Giusto 266,57022,CASTAGNETO CARDUCCI - BOLGHERI,LI,Toscana,0565765190,https://www.hotelcarlos.it/
info@hotelilgiardino.pisa.it,Hotel Il Giardino Srl,,,,Alberghi,Piazza Manin 1,56122,PISA,PI,Toscana,0508312286,
info@hotelilnegresco.com,Hotel Il Negresco,Hotel Il Negresco,,,Alberghi,Viale Italico 82,55042,FORTE DEI MARMI,LU,Toscana,058478820,https://www.hotelilnegresco.com/
info@itrebaroni.it,Hotel I Tre Baroni,,,,Alberghi,Via Camaldoli 52,52010,POPPI - MOGGIONA,AR,Toscana,0575556204,
