ZONA: Chianti,,,,,,
NOME HOTEL,CATEGORIA,INDIRIZZO,Tel,,Web,
Castello del Nero,☆☆☆☆☆,Strada Spicciano n.7 – 50028 Tavarnelle Val di pesa,055 80 64 70,info@castellodelnero.com,http://www.castellodelnero.com/,
Hotel Le Fontanelle,☆☆☆☆☆,"SP 408-km 14.7, 53019 Pianella (SIENA)",0577 35751,---,http://www.hotelfontanelle.com,
Borgo San Felice,☆☆☆☆☆,"Loc San Felice, 53019 Castelnuovo Berardenga",0577 3964 ,info@borgosanfelice.it  ,http://www.borgosanfelice.it,
"Castel Monastero
",☆☆☆☆☆,"Località Monastero D'Ombrone, 53019 Castelnuovo Berardenga",0577 570001,info@castelmonastero.com,http://www.castelmonastero.com,
"Country Relais Villa L'Olmo
",☆☆☆☆,"Via Imprunetana Per Tavarnuzze, 19, 50023 Impruneta",055 .23.11.311,info@relaisfarmholiday.com ,http://www.relaisfarmholiday.it/,
L’ultimo Mulino Hotel,☆☆☆☆, Località La Ripresa di Vistarenni - 53013 Gaiole in Chianti - SIENA ,0577/73.85.20,info@ultimomulino.it  ,www.ultimomulino.it,
"CASTELLARE DE' NOVESCHI Resort
",☆☆☆☆,"Via Padre Chiantini,12 - Loc. San Sano - Gaiole in Chianti ",0577 746010, info@castellaredenoveschi.com,www.castellaredenoveschi.it,
"Villacampomaggio a Radda in Chianti
",☆☆☆☆,Radda in Chianti,---,info@villacampomaggio.it,http://www.villacampomaggio.it,
"Hotel Semifonte
",☆☆☆☆,"Via Pisana 1, 50021 Barberino di Val dʼElsa",055.8068.051,semifonte@semifontehotel.it,http://www.semifontehotel.it/,
"Villa Casalecchi
",☆☆☆☆,"Loc. Casalecchi,18, 53011 Castellina in Chianti",0577-741111,info@villacasalecchi.it,http://www.villacasalecchi.it/,
"Hotel Colle Etrusco Salivolpi
",☆☆☆,"Via Fiorentina, 89, 53011 Castellina in Chianti",0577 740484, info@hotelsalivolpi.com ,http://www.hotelsalivolpi.com/,
"Albergo Del Chianti
",☆☆☆,"Piazza G. Matteotti, 86 - 50022 Greve in Chianti",055 853763,info@albergodelchianti.it  ,http://www.albergodelchianti.it/italian/,
"Belvedere Di San Leonino
",☆☆☆,"Loc.San Leonino Castellina In Chianti, 53011 Castellina in Chianti",0577 740887,info@hotelSan Leonino.com,http://www.hotelsanleonino.com/,
"Locanda Le Piazze
",☆☆☆,"Località Le Piazze, 53011 Castellina in Chianti",0577 743190,booking@locandalepiazze.it,http://www.locandalepiazze.it/locanda_chianti.html,
"Relais Fattoria Valle
",☆☆☆,"Via Case Sparse 56, 50022 Greve",---,fattoriavalle@fattoriavalle.com,http://www.fattoriavalle.com/,
"Agriturismo Fattoria Sant'Appiano
",☆☆,"Loc. Sant'appaino N* 11, 50021 Barberino di Val dʼElsa",0558075541 ,info@santappiano.it,http://www.santappiano.it/ita/index.php,
"Mary Hotel
",☆☆,"V.le San Francesco 6, 50026 San Casciano in Val di Pesa",055 820139,---,http://www.maryhotel.net/,
