,,,,
Toscana,,,,
Nome Hotel,Categoria,Telefono,E-mail,Web
,,,,
Tenuta Sant'Ilario,Agriturismo,0571/698195       ,info@tenutasantilario.it,http://www.tenutasantilario.it
La Ginestra,Agriturismo,3343116480,info@agriturismoginestra.it,http://www.agriturismoginestra.it
Borgo il Poggiaccio,Medieval Residence,0577 344030,info@borgoilpoggiaccio.it,http://www.borgoilpoggiaccio.it/
Borgo Le Scopaie,Affitto per vacanze,338 4520441      ,info@lescopaie.com,http://www.lescopaie.com
Fattoria Pianetti,Agriturismo,0564 625116       ,lefabbre@tiscali.it,http://www.fattoriapianetti.it
Apparita,Agriturismo,0588 66085      ,info@apparita.it,http://www.apparita.it/
Centopino,Agriturismo,0588 20428      ,leonardocambi@hotmail.com,http://www.agriturismocentopino.it
Il Gufo,Agriturismo,347.0599159      ,info@agriturismogufo.it ,http://www.agriturismogufo.it/
Valeriani Group,Agriturismi vari,0578.61199      ,gabrielevaleriani@libero.it,http://www.valerianigroup.com
Borgo Lozzi,Agriturismo,0577 51086       ,sienaintuscany@yahoo.it ,http://www.borgolozzi.it/
Fattoria La Torre,Agriturismo,055869106      ,info@agriturismofattorialatorre.com,http://www.agriturismofattorialatorre.com/
Casa di Dante,B&B,055.218132      , info@casadidante.it,http://www.casadidante.it
La Signoria di Firenze,B&B,552.302.923,info@lasignoriadifirenze.it,http://www.lasignoriadifirenze.it
In Piazza della Signoria,B&B,055-2399546       ,info@inpiazzadellasignoria.com,http://www.inpiazzadellasignoria.com/
Florence Old Bridge,B&B,055 265 4262      , info@florenceoldbridge.com,http://www.florenceoldbridge.com/
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Toscana,,,,
Nome Hotel,Categoria,Telefono,E-mail,Web
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Toscana,,,,
Nome Hotel,Categoria,Telefono,E-mail,Web
