Albergo,Indirizzo,Cap,Citta,Prov,Contatto,Stelle,Catena,Telefono,Web,Email,CamereSuite,PUNTEGGIO SU BOOKING,N Giudizi,FlagTerme,DoublePriceMin,FBLink
AIRONE DEL PARCO E DELLE TERME,San Giovanni,57037,Portoferraio,LI,NULL,4,,,http://www.hotelairone.info/,info@hotelairone.info,100,,,1,0,
Athena,Via Paolo Mascagni 55,53100,Siena,SI,NULL,4,,0577 286 313,http://www.hotelathena.com/,info@hotelathena.com,100,,,NULL,69,
Grand Hotel Villa Medici - A Sina Hotel,Via il Prato 42,50123,Firenze,FI,NULL,5,,,http://www.marriott.com/hotels/travel/flrak-sina-villa-medici-autograph-collection/?scid=bb1a189a-fe,*,100,,,NULL,187,
NH Cavalieri,Piazza Stazione 2,56125,Pisa,PI,NULL,4,,050 43290,https://www.nh-hotels.it/hotel/nh-pisa,nhpisa@nh-hotels.com,100,,,NULL,201.42,
Borgo La Bagnaia,Strada Statale 223 Siena-Grosseto Km. 12,53010,Murlo,SI,NULL,5,,,http://curiocollection3.hilton.com/en/hotels/italy/la-bagnaia-golf-and-spa-resort-siena-curio-collec,SAYLB_Labagnaiaresort@hilton.com,101,,,NULL,341,
Hotel Residence Palazzo Ricasoli,Via delle Mantellate 2,50129,Firenze,FI,NULL,4,,,http://www.hotelricasoli.it/,reservation@hotelricasoli.it,101,,,NULL,65,
PALAZZO RICASOLI RESIDENCE,"Via Delle Mantellate, 2",50100,Firenze,FI,NULL,3,,,NULL,palricas@tin.it,101,,,NULL,0,
SAVOY,"Piazza Repubblica, 7",50100,Firenze,FI,NULL,4,,,https://www.roccofortehotels.com/hotels-and-resorts/hotel-savoy/?utm_source=google&utm_medium=local&,*,101,,,NULL,0,
Grand Hotel Minerva,Piazza Santa Maria Novella 16,50123,Firenze,FI,NULL,4,,055 27230,http://www.grandhotelminerva.com/,info@grandhotelminerva.com,102,,,NULL,129,
JOLLY HOTEL CAVALIERI,"Piazza Stazione, 2",56125,Pisa,PI,NULL,4,,,https://www.nh-hotels.it/hotel/nh-pisa,nhpisa@nh-hotels.com,102,,,NULL,0,
Cavour,Via del Proconsolo 3,50122,Firenze,FI,NULL,4,,055 266 271,http://www.albergocavour.it/?utm_source=GoogleMyBusiness&utm_medium=referral&utm_campaign=GoogleMyBu,E2203-1-780x540@2x.jpg,103,,,NULL,100,
DE LA VILLE,"Viale S. Francesco D'Assisi, 5",51016,Montecatini Terme,PT,NULL,3,,,NULL,,103,,,1,0,
Grand Hotel Boston,Piazza Italia 5,53042,Chianciano Terme,SI,NULL,4,,0578 63472,http://www.grandhotelboston.it/,reservations@grandhotelboston.it,103,,,NULL,150,
Grand Hotel Panoramic,Viale Bustichini 65,51016,Montecatini Terme,PT,NULL,4,,0572 78381,http://www.grandhotelpanoramic.it/,info@grandhotelpanoramic.it,103,,,NULL,47.2,
GRAND HOTEL VILLA MEDICI,"Via Il Prato, 42",50123,Firenze,FI,NULL,5,Sina Hotels,055277171,https://www.sinahotels.com/en/h/sina-villa-medici-florence/,sinahotels@sinahotels.it,103,,,NULL,0,
MAJESTIC,"Via Del Melarancio, 1",50123,Firenze,FI,NULL,4,,,http://www.hotelmajesticflorence.com/,*,103,,,NULL,0,
Starhotels Tuscany,Via di Novoli 59,50127,Firenze,FI,NULL,4,,055 431 441,http://www.starhotels.com/en/our-hotels/tuscany-florence/?utm_source=google&utm_medium=local&utm_cam,*,103,,,NULL,81,
